serial_number,firmware,uroven,faktura,datum
111TRY0034,7369,L1,20240010,2024-07-01
121TTM4183,0886,L1,20240010,2024-07-01
121TTM4572,0865,L1,20240010,2024-07-01
121TTM4575,0886,L1,20240010,2024-07-01
121TTM4577,0886,L1,20240010,2024-07-01
121TTP1464,0886,L1,20240010,2024-07-01
121TTP1491,0886,L1,20240010,2024-07-01
121TTP1497,0886,L1,20240010,2024-07-01
121TTP1503,0886,L1,20240010,2024-07-01
121TTP1504,0886,L1,20240010,2024-07-01
121TTP1516,0865,L1,20240010,2024-07-01
121TUB2072,0886,L1,20240010,2024-07-01
123TZR2674,1511,L1,20240010,2024-07-01
123TZR2693,1511,L1,20240010,2024-07-01
123TZR2707,1511,L1,20240010,2024-07-01
123TZR2709,1511,L1,20240010,2024-07-01
123TZR2710,1511,L1,20240010,2024-07-01
123TZR2714,1511,L1,20240010,2024-07-01
123TZR2725,1511,L1,20240010,2024-07-01
123TZR2727,1511,L1,20240010,2024-07-01
123TZR2743,1511,L1,20240010,2024-07-01
123TZR2786,1511,L1,20240010,2024-07-01
123TZR2790,1511,L1,20240010,2024-07-01
123TZR2827,1511,L1,20240010,2024-07-01
857TFW3243,7464,L1,20240010,2024-07-01
857TJQ0516,7476,L1,20240010,2024-07-01
893TRR6626,0778,L1,20240010,2024-07-01
893TRR6674,0652,L1,20240010,2024-07-01
893TRR6689,0778,L1,20240010,2024-07-01
893TSK0616,0639,L1,20240010,2024-07-01
893TSK0620,0639,L1,20240010,2024-07-01
893TSK0635,0639,L1,20240010,2024-07-01
893TSK0664,0639,L1,20240010,2024-07-01
893TSK0704,0639,L1,20240010,2024-07-01
893TSK0705,0639,L1,20240010,2024-07-01
893TSK0716,0639,L1,20240010,2024-07-01
893TSK0729,0639,L1,20240010,2024-07-01
893TSK0743,0639,L1,20240010,2024-07-01
893TSK0760,0639,L1,20240010,2024-07-01
893TSK0779,0639,L1,20240010,2024-07-01
893TSK0788,0639,L1,20240010,2024-07-01
893TSK0789,0639,L1,20240010,2024-07-01
893TSK0794,0639,L1,20240010,2024-07-01
893TSK0795,0639,L1,20240010,2024-07-01
893TSK0797,0639,L1,20240010,2024-07-01
893TSK0806,0865,L1,20240010,2024-07-01
893TSK0808,0639,L1,20240010,2024-07-01
893TSK0810,0639,L1,20240010,2024-07-01
893TSK0914,0639,L1,20240010,2024-07-01
893TSK0933,0639,L1,20240010,2024-07-01
893TSK1117,0639,L1,20240010,2024-07-01
893TSK1129,0639,L1,20240010,2024-07-01
893TSK1131,0639,L1,20240010,2024-07-01
893TSK1132,0639,L1,20240010,2024-07-01
893TSK1137,0652,L1,20240010,2024-07-01
893TSK1143,0639,L1,20240010,2024-07-01
893TSK1145,0639,L1,20240010,2024-07-01
893TSK1146,0639,L1,20240010,2024-07-01
893TSK1155,0639,L1,20240010,2024-07-01
893TSK1157,0639,L1,20240010,2024-07-01
893TSK1159,0639,L1,20240010,2024-07-01
893TSK1169,0652,L1,20240010,2024-07-01
893TSK1227,0639,L1,20240010,2024-07-01
893TSK1259,0639,L1,20240010,2024-07-01
893TSK1260,0886,L1,20240010,2024-07-01
893TSK1270,0886,L1,20240010,2024-07-01
893TSTA954,0652,L1,20240010,2024-07-01
893TSTA987,0652,L1,20240010,2024-07-01
893TSTB016,0865,L1,20240010,2024-07-01
893TSTB096,0652,L1,20240010,2024-07-01
893TSTB115,1020,L1,20240010,2024-07-01
893TSTB183,0652,L1,20240010,2024-07-01
893TSTB614,0778,L1,20240010,2024-07-01
893TSTB898,0652,L1,20240010,2024-07-01
893TSTB965,0865,L1,20240010,2024-07-01
893TSTC096,0652,L1,20240010,2024-07-01
893TSTC145,0652,L1,20240010,2024-07-01
893TSTC183,0652,L1,20240010,2024-07-01
893TSTC184,0652,L1,20240010,2024-07-01
893TSTC202,0652,L1,20240010,2024-07-01
893TSTC221,0652,L1,20240010,2024-07-01
893TSTC269,0652,L1,20240010,2024-07-01
893TSTC296,0652,L1,20240010,2024-07-01
938TSG0642,0674,L1,20240010,2024-07-01
938TSG4402,0674,L1,20240010,2024-07-01
938TSG4404,0674,L1,20240010,2024-07-01
938TSG4408,0674,L1,20240010,2024-07-01
938TSG4422,0674,L1,20240010,2024-07-01
938TSG4426,0674,L1,20240010,2024-07-01
938TSG4458,0674,L1,20240010,2024-07-01
938TSG4459,0674,L1,20240010,2024-07-01
938TSG4470,0674,L1,20240010,2024-07-01
938TSG4476,0674,L1,20240010,2024-07-01
938TSG4500,0674,L1,20240010,2024-07-01
938TSG4502,0674,L1,20240010,2024-07-01
938TSG4503,0674,L1,20240010,2024-07-01
vysledky.c,v,L1,20240010,2024-07-01
